Original,Encripted
pitches,itchespay
newspapers,ewspapersnay
rice,iceray
because,ecausebay
sticks,tickssay
mere,eremay
droop,roopday
linen,inenlay
artilleryfire,artilleryfireyay
rarely,arelyray
trouble,roubletay
regiment,egimentray
considered,onsideredcay
perfectly,erfectlypay
sweeps,weepssay
established,establishedyay
westhus,esthusway
many,anymay
doctors,octorsday
collected,ollectedcay
oellrich,oellrichyay
dish,ishday
homecountry,omecountryhay
times,imestay
fastidious,astidiousfay
kats,atskay
thatturnips,hatturnipstay
expects,expectsyay
inhabitants,inhabitantsyay
unloaded,unloadedyay
exhaustion,exhaustionyay
lose,oselay
unfortunate,unfortunateyay
six,ixsay
patrolling,atrollingpay
willing,illingway
miserable,iserablemay
patrol,atrolpay
limp,implay
cured,uredcay
pleases,leasespay
loose,ooselay
begins,eginsbay
mortal,ortalmay
itch,itchyay
good,oodgay
blowing,lowingbay
name,amenay
scheme,chemesay
camp,ampcay
laid,aidlay
canteen,anteencay
knees,neeskay
hospital,ospitalhay
wakes,akesway
hedge,edgehay
so,osay
misery,iserymay
charged,hargedcay
calm,almcay
edge,edgeyay
astonishment,astonishmentyay
feature,eaturefay
given,ivengay
hesitate,esitatehay
over,overyay
somewhat,omewhatsay
noses,osesnay
avoided,avoidedyay
rear,earray
lying,yinglay
looks,ookslay
pair,airpay
petrifiedthere,etrifiedtherepay
springs,pringssay
rip,ipray
explains,explainsyay
ducks,ucksday
things,hingstay
smells,mellssay
listless,istlesslay
shadows,hadowssay
slightly,lightlysay
mouthful,outhfulmay
sister,istersay
great,reatgay
corner,ornercay
particularly,articularlypay
rumour,umourray
absent,absentyay
judging,udgingjay
away,awayyay
armchairs,armchairsyay
coverlets,overletscay
squat,quatsay
liver,iverlay
fund,undfay
bend,endbay
force,orcefay
equally,equallyyay
glides,lidesgay
detected,etectedday
mouth,outhmay
reassured,eassuredray
country,ountrycay
climb,limbcay
poles,olespay
tipped,ippedtay
were,ereway
finest,inestfay
actions,actionsyay
typical,ypicaltay
cosy,osycay
story,torysay
drivers,riversday
ones,onesyay
snipers,niperssay
whirling,hirlingway
begin,eginbay
louse,ouselay
parts,artspay
tinned,innedtay
scolded,coldedsay
desperate,esperateday
sergeantmajor,ergeantmajorsay
heave,eavehay
top,optay
finds,indsfay
birds,irdsbay
lively,ivelylay
habiteven,abitevenhay
realize,ealizeray
forms,ormsfay
disturbs,isturbsday
punctually,unctuallypay
sent,entsay
you,ouyay
crawling,rawlingcay
leaving,eavinglay
hair,airhay
disappears,isappearsday
sickly,icklysay
plaster,lasterpay
slips,lipssay
luck,ucklay
mortars,ortarsmay
heaves,eaveshay
seal,ealsay
shrub,hrubsay
suffocating,uffocatingsay
beard,eardbay
eight,eightyay
stooping,toopingsay
pokes,okespay
make,akemay
was,asway
suspicious,uspicioussay
imagine,imagineyay
shirt,hirtsay
swarm,warmsay
shadow,hadowsay
counterraid,ounterraidcay
happens,appenshay
bewildering,ewilderingbay
silk,ilksay
columns,olumnscay
colour,olourcay
singinga,ingingasay
pictures,icturespay
rests,estsray
helpless,elplesshay
station,tationsay
collapses,ollapsescay
diminish,iminishday
prayers,rayerspay
see,eesay
crack,rackcay
few,ewfay
slide,lidesay
stowed,towedsay
came,amecay
gloves,lovesgay
grasses,rassesgay
settle,ettlesay
always,alwaysyay
melancholy,elancholymay
overtime,overtimeyay
hurtles,urtleshay
able,ableyay
stock,tocksay
track,racktay
soft,oftsay
officers,officersyay
certain,ertaincay
counter,ountercay
this,histay
parted,artedpay
shattered,hatteredsay
destroyed,estroyedday
helplessly,elplesslyhay
doors,oorsday
knocked,nockedkay
crab,rabcay
into,intoyay
holes,oleshay
offended,offendedyay
express,expressyay
examined,examinedyay
thingand,hingandtay
asks,asksyay
shellholeswiftly,hellholeswiftlysay
pulse,ulsepay
healthy,ealthyhay
powder,owderpay
meet,eetmay
cold,oldcay
hence,encehay
judge,udgejay
cooked,ookedcay
organize,organizeyay
shoulder,houldersay
on,onyay
oellrichs,oellrichsyay
pig,igpay
agree,agreeyay
bloody,loodybay
lot,otlay
lower,owerlay
branches,ranchesbay
upon,uponyay
soundless,oundlesssay
drill,rillday
pretence,retencepay
hear,earhay
opalescent,opalescentyay
stools,toolssay
severest,everestsay
thinkhonest,hinkhonesttay
slant,lantsay
insisted,insistedyay
ham,amhay
duty,utyday
searching,earchingsay
pray,raypay
generally,enerallygay
tosses,ossestay
parsons,arsonspay
probably,robablypay
appears,appearsyay
noise,oisenay
information,informationyay
wouldnt,ouldntway
stretchers,tretcherssay
pounds,oundspay
worry,orryway
properly,roperlypay
believing,elievingbay
shrink,hrinksay
rocket,ocketray
open,openyay
sorely,orelysay
dress,ressday
notwithstanding,otwithstandingnay
ceased,easedcay
presented,resentedpay
spotted,pottedsay
criticizes,riticizescay
diagonally,iagonallyday
im,imyay
ready,eadyray
dim,imday
somethings,omethingssay
begging,eggingbay
savage,avagesay
twentyfive,wentyfivetay
naked,akednay
glowing,lowinggay
hot,othay
thereit,hereittay
tree,reetay
haie,aiehay
desire,esireday
humour,umourhay
baby,abybay
goods,oodsgay
falling,allingfay
risk,iskray
stairs,tairssay
escape,escapeyay
want,antway
do,oday
nothing,othingnay
try,rytay
every,everyyay
tins,instay
line,inelay
amputate,amputateyay
house,ousehay
wake,akeway
albert,albertyay
steers,teerssay
motherliness,otherlinessmay
bigger,iggerbay
caviar,aviarcay
shall,hallsay
alarm,alarmyay
wave,aveway
devotion,evotionday
thatkat,hatkattay
down,ownday
shut,hutsay
kemmerich,emmerichkay
injurya,injuryayay
finish,inishfay
barbed,arbedbay
bones,onesbay
pointed,ointedpay
understands,understandsyay
comprehension,omprehensioncay
mail,ailmay
found,oundfay
tuition,uitiontay
cheer,heercay
youll,oullyay
huddled,uddledhay
eggs,eggsyay
stab,tabsay
leg,eglay
repulsed,epulsedray
old,oldyay
wachter,achterway
proof,roofpay
costs,ostscay
bloodstained,loodstainedbay
invisible,invisibleyay
own,ownyay
planks,lankspay
ground,roundgay
muller,ullermay
concerned,oncernedcay
peacetime,eacetimepay
frenchman,renchmanfay
which,hichway
