Original,Slide,Encripted
excitedly,1,fydjufemz
helpless,1,ifmqmftt
griping,1,hsjqjoh
absurdity,1,bctvsejuz
hans,1,ibot
sickly,1,tjdlmz
else,1,fmtf
bend,1,cfoe
amongst,1,bnpohtu
clean,1,dmfbo
places,1,qmbdft
thing,1,uijoh
sowhat,1,tpxibu
there,1,uifsf
rulers,1,svmfst
eating,1,fbujoh
operate,1,pqfsbuf
flat,1,gmbu
sense,1,tfotf
went,1,xfou
icy,1,jdz
appear,1,bqqfbs
hollow,1,ipmmpx
afterward,1,bgufsxbse
everything,1,fwfszuijoh
calls,1,dbmmt
covered,1,dpwfsfe
cannot,1,dboopu
spread,1,tqsfbe
asked,1,btlfe
buried,1,cvsjfe
opalescent,1,pqbmftdfou
cat,1,dbu
night,1,ojhiu
nod,1,ope
ten,1,ufo
success,1,tvddftt
bandaged,1,cboebhfe
someone,1,tpnfpof
knew,1,lofx
chain,1,dibjo
existence,1,fyjtufodf
rest,1,sftu
live,1,mjwf
changes,1,dibohft
upset,1,vqtfu
recruit,1,sfdsvju
curve,1,dvswf
whom,1,xipn
hundreds,1,ivoesfet
balloons,1,cbmmppot
my,1,nz
cases,1,dbtft
manage,1,nbobhf
stalks,1,tubmlt
retreat,1,sfusfbu
albert,1,bmcfsu
hurry,1,ivssz
rather,1,sbuifs
how,1,ipx
rags,1,sbht
entirely,1,foujsfmz
hits,1,ijut
convulses,1,dpowvmtft
dropping,1,espqqjoh
pitch,1,qjudi
lean,1,mfbo
sink,1,tjol
low,1,mpx
whenever,1,xifofwfs
woman,1,xpnbo
half,1,ibmg
information,1,jogpsnbujpo
lines,1,mjoft
jump,1,kvnq
memory,1,nfnpsz
bustle,1,cvtumf
fly,1,gmz
stretch,1,tusfudi
happened,1,ibqqfofe
persons,1,qfstpot
strong,1,tuspoh
pitches,1,qjudift
potatoes,1,qpubupft
rub,1,svc
announces,1,boopvodft
fours,1,gpvst
tension,1,ufotjpo
review,1,sfwjfx
birches,1,cjsdift
babble,1,cbccmf
mail,1,nbjm
leapt,1,mfbqu
appearance,1,bqqfbsbodf
washed,1,xbtife
drill,1,esjmm
particularly,1,qbsujdvmbsmz
bandages,1,cboebhft
shirt,1,tijsu
told,1,upme
home,1,ipnf
hand,1,iboe
impossible,1,jnqpttjcmf
knee,1,loff
formerly,1,gpsnfsmz
twelve,1,uxfmwf
french,1,gsfodi
soul,1,tpvm
needle,1,offemf
fog,1,gph
tinned,1,ujoofe
front,1,gspou
sings,1,tjoht
nods,1,opet
trench,1,usfodi
heavily,1,ifbwjmz
kettleseverything,1,lfuumftfwfszuijoh
indistinctly,1,joejtujodumz
move,1,npwf
green,1,hsffo
eyes,1,fzft
just,1,kvtu
parachute,1,qbsbdivuf
shivering,1,tijwfsjoh
sausage,1,tbvtbhf
concrete,1,dpodsfuf
separately,1,tfqbsbufmz
gasping,1,hbtqjoh
caught,1,dbvhiu
underfoot,1,voefsgppu
like,1,mjlf
acting,1,bdujoh
chopped,1,dipqqfe
muller,1,nvmmfs
differently,1,ejggfsfoumz
blow,1,cmpx
sweeping,1,txffqjoh
answers,1,botxfst
spasm,1,tqbtn
kick,1,ljdl
breathe,1,csfbuif
stroke,1,tusplf
minutes,1,njovuft
casualties,1,dbtvbmujft
undamagedparts,1,voebnbhfeqbsut
crime,1,dsjnf
threatens,1,uisfbufot
stooping,1,tuppqjoh
lumber,1,mvncfs
stoves,1,tupwft
equal,1,frvbm
made,1,nbef
parts,1,qbsut
bargain,1,cbshbjo
obtuse,1,pcuvtf
accent,1,bddfou
beardsthey,1,cfbsetuifz
drivelling,1,esjwfmmjoh
paul,1,qbvm
legs,1,mfht
