Original,Encripted
exactly,vczxgob
hours,slfih
midday,nrwwzb
big,yrt
quiet,jfrvg
stove,hglev
her,svi
nourishment,mlfirhsnvmg
officers,luurxvih
his,srh
pains,kzrmh
taking,gzprmt
breezes,yivvavh
the,gsv
nervous,mvielfh
relieve,ivorvev
reaping,ivzkrmt
distressing,wrhgivhhrmt
otherwise,lgsvidrhv
dying,wbrmt
short,hslig
body,ylwb
joke,qlpv
finding,urmwrmt
words,dliwh
attendance,zggvmwzmxv
army,zinb
practically,kizxgrxzoob
halfpound,szouklfmw
down,wldm
world,dliow
object,lyqvxg
thrown,gsildm
dig,wrt
moves,nlevh
fool,ullo
all,zoo
generally,tvmvizoob
become,yvxlnv
cheaper,xsvzkvi
thatthe,gszggsv
headache,svzwzxsv
purpose,kfiklhv
annihilation,zmmrsrozgrlm
no,ml
nature,mzgfiv
them,gsvn
pitiful,krgrufo
would,dlfow
newspapers,mvdhkzkvih
necks,mvxph
takes,gzpvh
whole,dslov
cheer,xsvvi
here,sviv
made,nzwv
rice,irxv
burden,yfiwvm
display,wrhkozb
has,szh
whatever,dszgvevi
wait,dzrg
this,gsrh
friends,uirvmwh
lightly,ortsgob
intrigues,rmgirtfvh
make,nzpv
dressings,wivhhrmth
potatoes,klgzglvh
pounds,klfmwh
upon,fklm
they,gsvb
mad,nzw
my,nb
stroll,hgiloo
beside,yvhrwv
specially,hkvxrzoob
thin,gsrm
pot,klg
nowwe,mlddv
mother,nlgsvi
things,gsrmth
grows,tildh
where,dsviv
booty,yllgb
half,szou
minute,nrmfgv
mouths,nlfgsh
eyes,vbvh
with,drgs
drill,wiroo
whom,dsln
gives,trevh
standing,hgzmwrmt
probably,kilyzyob
afterwards,zugvidziwh
out,lfg
sometimes,hlnvgrnvh
through,gsilfts
bad,yzw
an,zm
waken,dzpvm
feed,uvvw
damnable,wznmzyov
ghost,tslhg
pretty,kivggb
cunning,xfmmrmt
cold,xlow
work,dlip
will,droo
cakes,xzpvh
recruit,ivxifrg
quickly,jfrxpob
ought,lftsg
green,tivvm
young,blfmt
parts,kzigh
sinks,hrmph
shut,hsfg
dysentery,wbhvmgvib
sugar,hftzi
beforehand,yvulivszmw
very,evib
own,ldm
though,gslfts
of,lu
imagine,rnztrmv
better,yvggvi
plays,kozbh
put,kfg
apostles,zklhgovh
enemy,vmvnb
a,z
potatocakes,klgzglxzpvh
junipers,qfmrkvih
love,olev
ago,ztl
well,dvoo
feelings,uvvormth
cigarette,xrtzivggv
grovelling,tilevoormt
to,gl
lost,olhg
soup,hlfk
pupil,kfkro
lose,olhv
furrows,ufiildh
till,groo
boiled,ylrovw
themthey,gsvngsvb
hundred,sfmwivw
makes,nzpvh
wounded,dlfmwvw
hans,szmh
shell,hsvoo
goes,tlvh
night,mrtsg
poor,klli
you,blf
head,svzw
why,dsb
sees,hvvh
existence,vcrhgvmxv
chorale,xslizov
dregs,wivth
fingers,urmtvih
gone,tlmv
begins,yvtrmh
destroyed,wvhgilbvw
oclock,lxolxp
autumntinted,zfgfnmgrmgvw
depot,wvklg
stretch,hgivgxs
frightened,uirtsgvmvw
loaf,olzu
cutting,xfggrmt
return,ivgfim
colour,xlolfi
knees,pmvvh
beardsthey,yvziwhgsvb
shadow,hszwld
kick,prxp
none,mlmv
some,hlnv
forms,ulinh
sympathy,hbnkzgsb
crusts,xifhgh
beats,yvzgh
stay,hgzb
our,lfi
pastelgreen,kzhgvotivvm
majority,nzqlirgb
brings,yirmth
countryside,xlfmgibhrwv
red,ivw
carrot,xziilg
concerned,xlmxvimvw
condemnation,xlmwvnmzgrlm
occasionally,lxxzhrlmzoob
fathers,uzgsvih
water,dzgvi
bearable,yvzizyov
creature,xivzgfiv
dirty,wrigb
piece,krvxv
reinforcements,ivrmulixvnvmgh
such,hfxs
immense,rnnvmhv
day,wzb
sing,hrmt
save,hzev
went,dvmg
do,wl
practise,kizxgrhv
free,uivv
glad,tozw
commands,xlnnzmwh
gold,tlow
muchterror,nfxsgviili
animals,zmrnzoh
notwithstanding,mlgdrgshgzmwrmt
silken,hropvm
round,ilfmw
glow,told
doctors,wlxglih
