Original,Encripted
real,ealray
pocket,ocketpay
shall,hallsay
violinists,iolinistsvay
shirts,hirtssay
jam,amjay
mothers,othersmay
on,onyay
purest,urestpay
bit,itbay
fellows,ellowsfay
suspicious,uspicioussay
frightened,rightenedfay
stroll,trollsay
thing,hingtay
burial,urialbay
deep,eepday
work,orkway
themselves,hemselvestay
just,ustjay
night,ightnay
surgeon,urgeonsay
nods,odsnay
want,antway
russians,ussiansray
cold,oldcay
bargain,argainbay
topsmouldy,opsmouldytay
important,importantyay
taken,akentay
separated,eparatedsay
fear,earfay
laid,aidlay
have,avehay
shell,hellsay
pebbles,ebblespay
except,exceptyay
soon,oonsay
thinks,hinkstay
day,ayday
either,eitheryay
jests,estsjay
bits,itsbay
tipped,ippedtay
taking,akingtay
sick,icksay
potatocakes,otatocakespay
blows,lowsbay
mesh,eshmay
brings,ringsbay
relieve,elieveray
stretch,tretchsay
seem,eemsay
ornamental,ornamentalyay
desk,eskday
ever,everyay
junipers,unipersjay
majority,ajoritymay
sounds,oundssay
musical,usicalmay
bulge,ulgebay
aim,aimyay
break,reakbay
melancholy,elancholymay
hills,illshay
hundred,undredhay
not,otnay
against,againstyay
money,oneymay
furtively,urtivelyfay
fire,irefay
soldiers,oldierssay
peeling,eelingpay
legs,egslay
merely,erelymay
home,omehay
schoolmaster,choolmastersay
pastelgreen,astelgreenpay
tough,oughtay
hideous,ideoushay
then,hentay
illness,illnessyay
made,ademay
water,aterway
great,reatgay
becomes,ecomesbay
halfpound,alfpoundhay
penalty,enaltypay
thrown,hrowntay
cost,ostcay
transparent,ransparenttay
organ,organyay
reinforcements,einforcementsray
recover,ecoverray
knocked,nockedkay
leave,eavelay
pieces,iecespay
to,otay
others,othersyay
fine,inefay
grow,rowgay
happy,appyhay
nothing,othingnay
beats,eatsbay
folk,olkfay
willing,illingway
shortly,hortlysay
hum,umhay
task,asktay
love,ovelay
none,onenay
spots,potssay
touch,ouchtay
pain,ainpay
suffering,ufferingsay
twenty,wentytay
titbits,itbitstay
cheaper,heapercay
st,tsay
station,tationsay
proof,roofpay
last,astlay
has,ashay
waken,akenway
past,astpay
routine,outineray
imagine,imagineyay
voices,oicesvay
each,eachyay
light,ightlay
move,ovemay
observe,observeyay
walrus,alrusway
kemmerich,emmerichkay
obscure,obscureyay
stems,temssay
begs,egsbay
attendance,attendanceyay
despised,espisedday
know,nowkay
fearful,earfulfay
like,ikelay
plays,layspay
butter,utterbay
see,eesay
side,idesay
persons,ersonspay
march,archmay
standing,tandingsay
driving,rivingday
am,amyay
unwashed,unwashedyay
gleam,leamgay
enough,enoughyay
body,odybay
treat,reattay
definitely,efinitelyday
meek,eekmay
themthey,hemtheytay
why,hyway
reserved,eservedray
blue,luebay
birches,irchesbay
supply,upplysay
unfortunate,unfortunateyay
some,omesay
will,illway
darkness,arknessday
max,axmay
parts,artspay
slender,lendersay
hangs,angshay
till,illtay
front,rontfay
pass,asspay
amiss,amissyay
generals,eneralsgay
muchterror,uchterrormay
thin,hintay
head,eadhay
enemy,enemyyay
jokes,okesjay
towards,owardstay
stay,taysay
up,upyay
man,anmay
enemies,enemiesyay
severest,everestsay
prisoners,risonerspay
bloodstained,loodstainedbay
read,eadray
stinking,tinkingsay
broken,rokenbay
sickly,icklysay
operate,operateyay
direct,irectday
hot,othay
among,amongyay
decent,ecentday
different,ifferentday
knows,nowskay
sole,olesay
practise,ractisepay
knives,niveskay
prison,risonpay
kicks,ickskay
himmelstoss,immelstosshay
already,alreadyyay
slowly,lowlysay
perceive,erceivepay
young,oungyay
wonderfully,onderfullyway
clear,learcay
document,ocumentday
ready,eadyray
such,uchsay
costs,ostscay
charge,hargecay
thatturnips,hatturnipstay
picking,ickingpay
while,hileway
much,uchmay
wounded,oundedway
sad,adsay
thus,hustay
rhythm,hythmray
reflect,eflectray
before,eforebay
back,ackbay
its,itsyay
loaves,oaveslay
success,uccesssay
songs,ongssay
said,aidsay
listless,istlesslay
pretty,rettypay
education,educationyay
dim,imday
turnip,urniptay
course,oursecay
meantime,eantimemay
reward,ewardray
fail,ailfay
often,oftenyay
tjaden,jadentay
gets,etsgay
apple,appleyay
fast,astfay
won,onway
slink,linksay
black,lackbay
potato,otatopay
found,oundfay
shot,hotsay
give,ivegay
sit,itsay
rot,otray
during,uringday
wasted,astedway
taste,astetay
time,imetay
nose,osenay
feed,eedfay
grovelling,rovellinggay
girl,irlgay
trees,reestay
her,erhay
muck,uckmay
patches,atchespay
oclock,oclockyay
necessity,ecessitynay
drink,rinkday
big,igbay
sinks,inkssay
birds,irdsbay
went,entway
instrument,instrumentyay
passes,assespay
cured,uredcay
overtime,overtimeyay
their,heirtay
through,hroughtay
evening,eveningyay
endured,enduredyay
deliberately,eliberatelyday
i,iyay
lying,yinglay
moor,oormay
stories,toriessay
business,usinessbay
else,elseyay
otherwise,otherwiseyay
objects,objectsyay
dare,areday
quite,uiteqay
cease,easecay
damnable,amnableday
beefsinew,eefsinewbay
them,hemtay
carvings,arvingscay
moors,oorsmay
you,ouyay
we,eway
haie,aiehay
what,hatway
broad,roadbay
dogs,ogsday
glad,ladgay
lot,otlay
hear,earhay
aboutterror,aboutterroryay
something,omethingsay
been,eenbay
signed,ignedsay
into,intoyay
suede,uedesay
comfort,omfortcay
thats,hatstay
restand,estandray
fro,rofay
destroyed,estroyedday
operated,operatedyay
detailed,etailedday
peasant,easantpay
officer,officeryay
westhus,esthusway
thatthe,hatthetay
noses,osesnay
makes,akesmay
maintain,aintainmay
skythen,kythensay
powder,owderpay
pains,ainspay
dont,ontday
understand,understandyay
heard,eardhay
of,ofyay
backs,acksbay
spite,pitesay
wants,antsway
beyer,eyerbay
concerned,oncernedcay
names,amesnay
herself,erselfhay
commands,ommandscay
bitter,itterbay
sometimes,ometimessay
rest,estray
did,idday
forest,orestfay
about,aboutyay
shakes,hakessay
become,ecomebay
until,untilyay
pasting,astingpay
shivering,hiveringsay
over,overyay
judgment,udgmentjay
along,alongyay
somewhere,omewheresay
dreadfully,readfullyday
warm,armway
trade,radetay
no,onay
ought,oughtyay
speak,peaksay
sent,entsay
but,utbay
bands,andsbay
can,ancay
pates,atespay
go,ogay
three,hreetay
pounds,oundspay
inviting,invitingyay
hope,opehay
are,areyay
movements,ovementsmay
fence,encefay
fall,allfay
afternoon,afternoonyay
acquainted,acquaintedyay
friends,riendsfay
musician,usicianmay
nowwe,owwenay
greed,reedgay
berlin,erlinbay
since,incesay
mouths,outhsmay
both,othbay
drill,rillday
ignore,ignoreyay
hears,earshay
exactly,exactlyyay
habit,abithay
line,inelay
banners,annersbay
safely,afelysay
beardsthey,eardstheybay
down,ownday
with,ithway
heads,eadshay
frozen,rozenfay
cookhouse,ookhousecay
scarce,carcesay
feeble,eeblefay
violin,iolinvay
anyone,anyoneyay
tins,instay
countryside,ountrysidecay
